Year,GDP_growth_rate,Unemployment_rate,Inflation_rate,Recession_Tag
1967,2.7426663686593,3.8,2.77278562259309,0
1968,4.914509352349,3.6,4.27179615288537,0
1968,4.914509352349,3.6,4.27179615288537,0
1968,4.914509352349,3.6,4.27179615288537,0
1968,4.914509352349,3.6,4.27179615288537,0
1969,3.1224773674803,3.5,5.46238620028745,0
1969,3.1224773674803,3.5,5.46238620028745,1
1969,3.1224773674803,3.5,5.46238620028745,1
1969,3.1224773674803,3.5,5.46238620028745,1
1970,0.184619362250075,4.9,5.83825533848251,1
1970,0.184619362250075,4.9,5.83825533848251,1
1970,0.184619362250075,4.9,5.83825533848251,1
1970,0.184619362250075,4.9,5.83825533848251,1
1971,3.29272245024868,5.9,4.29276668813051,0
1971,3.29272245024868,5.9,4.29276668813051,0
1971,3.29272245024868,5.9,4.29276668813051,0
1971,3.29272245024868,5.9,4.29276668813051,0
1972,5.25550196715072,5.6,3.27227824655283,0
1972,5.25550196715072,5.6,3.27227824655283,0
1972,5.25550196715072,5.6,3.27227824655283,0
1972,5.25550196715072,5.6,3.27227824655283,0
1973,5.64567975906083,4.9,6.17776006377038,0
1973,5.64567975906083,4.9,6.17776006377038,0
1973,5.64567975906083,4.9,6.17776006377038,0
1973,5.64567975906083,4.9,6.17776006377038,1
1974,-0.540550189302294,5.6,11.0548048048048,1
1974,-0.540550189302294,5.6,11.0548048048048,1
1974,-0.540550189302294,5.6,11.0548048048048,1
1974,-0.540550189302294,5.6,11.0548048048048,1
1975,-0.205619193188355,8.5,9.14314686496535,1
1975,-0.205619193188355,8.5,9.14314686496535,0
1975,-0.205619193188355,8.5,9.14314686496535,0
1975,-0.205619193188355,8.5,9.14314686496535,0
1976,5.38803390599543,7.7,5.74481263549085,0
1976,5.38803390599543,7.7,5.74481263549085,0
1976,5.38803390599543,7.7,5.74481263549085,0
1976,5.38803390599543,7.7,5.74481263549085,0
1977,4.62418650861058,7.1,6.5016839947284,0
1977,4.62418650861058,7.1,6.5016839947284,0
1977,4.62418650861058,7.1,6.5016839947284,0
1977,4.62418650861058,7.1,6.5016839947284,0
1978,5.53520647919645,6.1,7.63096383885606,0
1978,5.53520647919645,6.1,7.63096383885606,0
1978,5.53520647919645,6.1,7.63096383885606,0
1978,5.53520647919645,6.1,7.63096383885606,0
1979,3.16598822778928,5.8,11.2544711292795,0
1979,3.16598822778928,5.8,11.2544711292795,1
1979,3.16598822778928,5.8,11.2544711292795,1
1979,3.16598822778928,5.8,11.2544711292795,1
1980,-0.256775736225364,7.1,13.5492019749684,1
1980,-0.256775736225364,7.1,13.5492019749684,1
1980,-0.256775736225364,7.1,13.5492019749684,0
1980,-0.256775736225364,7.1,13.5492019749684,0
1981,2.53770126586743,7.6,10.3347153402771,0
1981,2.53770126586743,7.6,10.3347153402771,1
1981,2.53770126586743,7.6,10.3347153402771,1
1981,2.53770126586743,7.6,10.3347153402771,1
1982,-1.80301378017963,9.7,6.13142700027493,1
1982,-1.80301378017963,9.7,6.13142700027493,1
1982,-1.80301378017963,9.7,6.13142700027493,0
1982,-1.80301378017963,9.7,6.13142700027493,0
1983,4.58379097983199,9.6,3.21243523316065,0
1983,4.58379097983199,9.6,3.21243523316065,0
1983,4.58379097983199,9.6,3.21243523316065,0
1983,4.58379097983199,9.6,3.21243523316065,0
1984,7.23645316716272,7.5,4.30053547523429,0
1984,7.23645316716272,7.5,4.30053547523429,0
1984,7.23645316716272,7.5,4.30053547523429,0
1984,7.23645316716272,7.5,4.30053547523429,0
1985,4.16957534780626,7.2,3.54564415209365,0
1985,4.16957534780626,7.2,3.54564415209365,0
1985,4.16957534780626,7.2,3.54564415209365,0
1985,4.16957534780626,7.2,3.54564415209365,0
1986,3.46265504853929,7.0,1.89804772234276,0
1986,3.46265504853929,7.0,1.89804772234276,0
1986,3.46265504853929,7.0,1.89804772234276,0
1986,3.46265504853929,7.0,1.89804772234276,0
1987,3.45462966726373,6.2,3.6645632175169,0
1987,3.45462966726373,6.2,3.6645632175169,0
1987,3.45462966726373,6.2,3.6645632175169,0
1987,3.45462966726373,6.2,3.6645632175169,0
1988,4.17698239554727,5.5,4.07774110744413,0
1988,4.17698239554727,5.5,4.07774110744413,0
1988,4.17698239554727,5.5,4.07774110744413,0
1988,4.17698239554727,5.5,4.07774110744413,0
1989,3.67223783532349,5.3,4.82700303008944,0
1989,3.67223783532349,5.3,4.82700303008944,0
1989,3.67223783532349,5.3,4.82700303008944,0
1989,3.67223783532349,5.3,4.82700303008944,1
1990,1.88596558335223,5.6,5.39795643990325,1
1990,1.88596558335223,5.6,5.39795643990325,1
1990,1.88596558335223,5.6,5.39795643990325,1
1990,1.88596558335223,5.6,5.39795643990325,1
1991,-0.108312881913292,6.8,4.23496396453849,1
1991,-0.108312881913292,6.8,4.23496396453849,0
1991,-0.108312881913292,6.8,4.23496396453849,0
1991,-0.108312881913292,6.8,4.23496396453849,0
1992,3.52249717698845,7.5,3.02881967814969,0
1992,3.52249717698845,7.5,3.02881967814969,0
1992,3.52249717698845,7.5,3.02881967814969,0
1992,3.52249717698845,7.5,3.02881967814969,0
1993,2.7517958662618,6.9,2.95165696638559,0
1993,2.7517958662618,6.9,2.95165696638559,0
1993,2.7517958662618,6.9,2.95165696638559,0
1993,2.7517958662618,6.9,2.95165696638559,0
1994,4.02902272603258,6.119,2.60744159215453,0
1994,4.02902272603258,6.119,2.60744159215453,0
1994,4.02902272603258,6.119,2.60744159215453,0
1994,4.02902272603258,6.119,2.60744159215453,0
1995,2.68443073360764,5.65,2.80541968853662,0
1995,2.68443073360764,5.65,2.80541968853662,0
1995,2.68443073360764,5.65,2.80541968853662,0
1995,2.68443073360764,5.65,2.80541968853662,0
1996,3.77277269138068,5.451,2.93120419993441,0
1996,3.77277269138068,5.451,2.93120419993441,0
1996,3.77277269138068,5.451,2.93120419993441,0
1996,3.77277269138068,5.451,2.93120419993441,0
